wavelength_nm; Transmission
2321; 32.38677979
2320; 31.85266495
2319; 31.2979393
2318; 30.83478546
2317; 30.45513916
2316; 30.13894653
2315; 29.9459362
2314; 29.80392265
2313; 29.77610207
2312; 29.8376255
2311; 29.8977623
2310; 29.9901638
2309; 30.10421753
2308; 30.23358345
2307; 30.39299202
2306; 30.48423576
2305; 30.61879539
2304; 30.760252
2303; 30.93180084
2302; 31.05519676
2301; 31.23332596
2300; 31.40152359
2299; 31.6187973
2298; 31.88778687
2297; 32.11437607
2296; 32.38811493
2295; 32.71530914
2294; 33.04671478
2293; 33.35277176
2292; 33.7223053
2291; 34.05305862
2290; 34.45531464
2289; 34.76945114
2288; 35.15313721
2287; 35.50099945
2286; 35.85907745
2285; 36.20123291
2284; 36.59513474
2283; 36.93904877
2282; 37.23185349
2281; 37.49529266
2280; 37.81174469
2279; 38.10353088
2278; 38.36658096
2277; 38.64413071
2276; 38.98208618
2275; 39.28910065
2274; 39.66775894
2273; 40.17160034
2272; 40.67357635
2271; 41.30661774
2270; 41.91618347
2269; 42.64673233
2268; 43.40184021
2267; 44.2493515
2266; 45.08053589
2265; 45.92219162
2264; 46.71295166
2263; 47.60371017
2262; 48.44211197
2261; 49.35279465
2260; 50.21992874
2259; 50.99149323
2258; 51.86748505
2257; 52.65346146
2256; 53.47512436
2255; 54.33789063
2254; 55.08167267
2253; 55.84675217
2252; 56.64649582
2251; 57.31884384
2250; 58.06225967
2249; 58.70217133
2248; 59.35719681
2247; 59.93175507
2246; 60.52192307
2245; 60.98971939
2244; 61.40189362
2243; 61.84659576
2242; 62.27778244
2241; 62.56137466
2240; 62.80389404
2239; 63.10080719
2238; 63.37263107
2237; 63.62163925
2236; 63.84986115
2235; 63.936203
2234; 64.1651001
2233; 64.21269989
2232; 64.45584869
2231; 64.72446442
2230; 64.90513611
2229; 65.03395844
2228; 65.25968933
2227; 65.52384186
2226; 65.71613312
2225; 65.87850189
2224; 66.05583191
2223; 66.27404022
2222; 66.31768799
2221; 66.34896088
2220; 66.51261902
2219; 66.52970886
2218; 66.55792236
2217; 66.54433441
2216; 66.53665161
2215; 66.50479889
2214; 66.48319244
2213; 66.45049286
2212; 66.44306946
2211; 66.47181702
2210; 66.36125183
2209; 66.3483429
2208; 66.4182663
2207; 66.3921814
2206; 66.4132843
2205; 66.44683838
2204; 66.42655182
2203; 66.41954803
2202; 66.51023102
2201; 66.44818115
2200; 66.46969604
2199; 66.40390778
2198; 66.35579681
2197; 66.35534668
2196; 66.2627182
2195; 66.1581955
2194; 66.06150818
2193; 65.90961456
2192; 65.81629181
2191; 65.72270203
2190; 65.67640686
2189; 65.7027359
2188; 65.68447113
2187; 65.76370239
2186; 65.84354401
2185; 65.94174957
2184; 66.04573822
2183; 66.16294861
2182; 66.2582016
2181; 66.22705078
2180; 66.31307983
2179; 66.31395721
2178; 66.193367
2177; 66.21424866
2176; 65.94235992
2175; 65.65141296
2174; 65.36857605
2173; 64.92891693
2172; 64.33662415
2171; 63.70984268
2170; 63.02721405
2169; 62.27952957
2168; 61.59492874
2167; 60.93846512
2166; 60.35154343
2165; 59.82148743
2164; 59.46932983
2163; 59.43727493
2162; 59.47394943
2161; 59.6267395
2160; 59.92106247
2159; 60.33135223
2158; 60.86484146
2157; 61.34099197
2156; 61.84742355
2155; 62.41516495
2154; 62.96020126
2153; 63.23683929
2152; 63.57243729
2151; 63.87462616
2150; 64.08965302
2149; 64.14013672
2148; 64.26531982
2147; 64.12033081
2146; 63.98886871
2145; 63.70008087
2144; 63.50897598
2143; 63.19314957
2142; 62.77316666
2141; 62.4546051
2140; 62.04124832
2139; 61.67976379
2138; 61.5148201
2137; 61.25562286
2136; 61.25227737
2135; 61.29450989
2134; 61.56217575
2133; 61.81471252
2132; 62.28448105
2131; 62.78827667
2130; 63.1936264
2129; 63.71165085
2128; 64.0661087
2127; 64.3629837
2126; 64.70777893
2125; 65.01087189
2124; 65.13999939
2123; 65.25615692
2122; 65.42441559
2121; 65.52941895
2120; 65.54714966
2119; 65.5824585
2118; 65.66857147
2117; 65.73564911
2116; 65.70566559
2115; 65.84358215
2114; 65.82587433
2113; 65.90218353
2112; 65.91407776
2111; 65.89825439
2110; 65.85651398
2109; 65.90699005
2108; 65.89804077
2107; 65.98744202
2106; 65.93539429
2105; 66.02816772
2104; 66.00447845
2103; 66.00650024
2102; 66.03140259
2101; 66.06326294
2100; 66.03038025
2099; 66.06073761
2098; 66.10163116
2097; 66.069664
2096; 66.07196045
2095; 66.20027161
2094; 66.22928619
2093; 66.21271515
2092; 66.27314758
2091; 66.33917999
2090; 66.41919708
2089; 66.47781372
2088; 66.60468292
2087; 66.63038635
2086; 66.74039459
2085; 66.78800201
2084; 66.89700317
2083; 66.99615479
2082; 67.12134552
2081; 67.22924805
2080; 67.36664581
2079; 67.49791718
2078; 67.7199173
2077; 67.82476044
2076; 67.95489502
2075; 68.18024445
2074; 68.32019806
2073; 68.51081085
2072; 68.69622803
2071; 68.7864151
2070; 68.94924927
2069; 69.08166504
2068; 69.31327057
2067; 69.54528809
2066; 69.57441711
2065; 69.86703491
2064; 70.03947449
2063; 70.14853668
2062; 70.28198242
2061; 70.52211761
2060; 70.62785339
2059; 70.79453278
2058; 70.99575043
2057; 71.11386871
2056; 71.29080963
2055; 71.42008972
2054; 71.58802795
2053; 71.77444458
2052; 71.90530396
2051; 72.03911591
2050; 72.18397522
2049; 72.33257294
2048; 72.48088074
2047; 72.69293976
2046; 72.71459198
2045; 72.83163452
2044; 73.06236267
2043; 73.16506958
2042; 73.42840576
2041; 73.59677124
2040; 73.64022827
2039; 73.80200958
2038; 74.00901794
2037; 74.21637726
2036; 74.22689056
2035; 74.34682465
2034; 74.53583527
2033; 74.645401
