wavelength_nm; Transmission
2600; 58.83042145
2599; 58.71677399
2598; 58.65870285
2597; 58.48212433
2596; 58.29938126
2595; 58.21140289
2594; 58.0458107
2593; 57.91397095
2592; 57.7598381
2591; 57.61639023
2590; 57.37692642
2589; 57.22343445
2588; 57.05428696
2587; 56.83482742
2586; 56.62586212
2585; 56.48488235
2584; 56.27222061
2583; 56.0921669
2582; 55.94894409
2581; 55.87071228
2580; 55.70396042
2579; 55.63273621
2578; 55.55581284
2577; 55.47050858
2576; 55.49025726
2575; 55.37892532
2574; 55.32410049
2573; 55.40194702
2572; 55.38542938
2571; 55.31895828
2570; 55.2633934
2569; 55.25913239
2568; 55.25806427
2567; 55.14184189
2566; 55.10664749
2565; 55.02064133
2564; 54.96861267
2563; 54.95523071
2562; 55.0423317
2561; 54.91926575
2560; 54.87847137
2559; 54.95077896
2558; 54.89248657
2557; 54.88117981
2556; 54.82803726
2555; 54.8449707
2554; 54.87543488
2553; 54.89547348
2552; 54.87274933
2551; 54.84604645
2550; 54.90507507
2549; 54.99198532
2548; 54.96837616
2547; 54.96851349
2546; 55.04149628
2545; 54.98651886
2544; 55.00405502
2543; 54.98173904
2542; 55.01336288
2541; 54.95966721
2540; 54.9234314
2539; 54.80568314
2538; 54.78153992
2537; 54.63505554
2536; 54.62723923
2535; 54.5161972
2534; 54.38667679
2533; 54.16775894
2532; 54.1266098
2531; 53.92054367
2530; 53.80783844
2529; 53.59614563
2528; 53.35430527
2527; 53.20222855
2526; 53.01211548
2525; 52.82812881
2524; 52.6036911
2523; 52.46459961
2522; 52.33744431
2521; 52.09236908
2520; 51.92975998
2519; 51.80992508
2518; 51.61929321
2517; 51.48187256
2516; 51.38656998
2515; 51.24220276
2514; 51.18420792
2513; 51.14619064
2512; 51.21011734
2511; 51.15383148
2510; 51.18597794
2509; 51.17462158
2508; 51.29200363
2507; 51.2921524
2506; 51.41321945
2505; 51.56687927
2504; 51.5960083
2503; 51.71331787
2502; 51.87672424
